,BTCUSDT.csv,ETHUSDT.csv,LTCUSDT.csv,XRPUSDT.csv,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2019-11-23 16:10:00,-8.0,0.0,0.0,0.0,46855.368085366325,57547.880000000005,-29.780000000006112,104403.24808536633,0.0
2019-11-23 16:11:00,-8.0,0.0,0.0,0.0,46802.648085366345,57574.24,-26.359999999993306,104376.88808536634,0.0
2019-11-23 16:12:00,-8.0,0.0,0.0,0.0,46750.24808536633,57600.44,-26.200000000004366,104350.68808536633,0.0
2019-11-23 16:13:00,-8.0,0.0,0.0,0.0,46662.40808536633,57644.36,-43.919999999998254,104306.76808536633,0.0
2019-11-23 16:14:00,-8.0,0.0,0.0,0.0,46741.20808536634,57604.96,39.400000000001455,104346.16808536634,0.0
2019-11-23 16:15:00,-8.0,0.0,0.0,0.0,46744.44808536634,57603.34,1.6200000000026193,104347.78808536634,0.0
2019-11-23 16:16:00,-8.0,0.0,0.0,0.0,46699.76808536634,57625.68,-22.340000000003783,104325.44808536634,0.0
2019-11-23 16:17:00,-8.0,0.0,0.0,0.0,46766.00808536634,57592.56,33.12000000000262,104358.56808536634,0.0
2019-11-23 16:18:00,-8.0,0.0,0.0,0.0,46886.128085366334,57532.5,60.05999999999767,104418.62808536633,0.0
2019-11-23 16:19:00,-8.0,0.0,0.0,0.0,46841.32808536634,57554.9,-22.400000000001455,104396.22808536634,0.0
2019-11-23 16:20:00,-8.0,0.0,0.0,0.0,46716.84808536633,57617.14000000001,-62.24000000000524,104333.98808536633,0.0
2019-11-23 16:21:00,-8.0,0.0,0.0,0.0,46511.968085366345,57719.58,-102.43999999999505,104231.54808536635,0.0
2019-11-23 16:22:00,-8.0,0.0,0.0,0.0,46422.288085366345,57764.420000000006,-44.84000000000378,104186.70808536635,0.0
2019-11-23 16:23:00,-8.0,0.0,0.0,0.0,46273.488085366356,57838.82,-74.39999999999418,104112.30808536636,0.0
2019-11-23 16:24:00,-8.0,0.0,0.0,0.0,46254.00808536637,57848.56,-9.739999999997963,104102.56808536637,0.0
2019-11-23 16:25:00,-8.0,0.0,0.0,0.0,46405.52808536638,57772.799999999996,75.76000000000204,104178.32808536637,0.0
2019-11-23 16:26:00,-8.0,0.0,0.0,0.0,46382.40808536638,57784.35999999999,-11.559999999997672,104166.76808536638,0.0
2019-11-23 16:27:00,-8.0,0.0,0.0,0.0,46165.84808536636,57892.64000000001,-108.28000000001339,104058.48808536636,0.0
2019-11-23 16:28:00,-8.0,0.0,0.0,0.0,46312.92808536637,57819.1,73.54000000000815,104132.02808536637,0.0
2019-11-23 16:29:00,-8.0,0.0,0.0,0.0,46369.88808536637,57790.619999999995,28.4800000000032,104160.50808536637,0.0
2019-11-23 16:30:00,-8.0,0.0,0.0,0.0,46526.848085366364,57712.14,78.47999999999593,104238.98808536636,0.0
2019-11-23 16:31:00,-8.0,0.0,0.0,0.0,46628.328085366375,57661.399999999994,50.74000000000524,104289.72808536637,0.0
2019-11-23 16:32:00,-8.0,0.0,0.0,0.0,46667.76808536635,57641.68000000001,19.719999999986612,104309.44808536636,0.0
2019-11-23 16:33:00,-8.0,0.0,0.0,0.0,46675.44808536636,57637.840000000004,3.8400000000037835,104313.28808536637,0.0
2019-11-23 16:34:00,-8.0,0.0,0.0,0.0,46635.648085366374,57657.74,-19.89999999999418,104293.38808536637,0.0
2019-11-23 16:35:00,-8.0,0.0,0.0,0.0,46583.808085366356,57683.66,-25.92000000000553,104267.46808536636,0.0
2019-11-23 16:36:00,-8.0,0.0,0.0,0.0,46465.36808536635,57742.880000000005,-59.220000000001164,104208.24808536636,0.0
2019-11-23 16:37:00,-8.0,0.0,0.0,0.0,46338.12808536636,57806.5,-63.61999999999534,104144.62808536636,0.0
2019-11-23 16:38:00,-8.0,0.0,0.0,0.0,46306.76808536637,57822.18,-15.680000000000291,104128.94808536637,0.0
2019-11-23 16:39:00,-8.0,0.0,0.0,0.0,46237.888085366365,57856.62,-34.44000000000233,104094.50808536637,0.0
2019-11-23 16:40:00,-8.0,0.0,0.0,0.0,46098.84808536638,57926.14,-69.5199999999968,104024.98808536638,0.0
2019-11-23 16:41:00,-8.0,0.0,0.0,0.0,46033.52808536638,57958.799999999996,-32.65999999999622,103992.32808536637,0.0
2019-11-23 16:42:00,-8.0,0.0,0.0,0.0,45898.96808536638,58026.079999999994,-67.27999999999884,103925.04808536638,0.0
2019-11-23 16:43:00,-8.0,0.0,0.0,0.0,45882.12808536636,58034.5,-8.42000000000553,103916.62808536636,0.0
2019-11-23 16:44:00,-8.0,0.0,0.0,0.0,45886.488085366356,58032.32,2.180000000000291,103918.80808536636,0.0
2019-11-23 16:45:00,-8.0,0.0,0.0,0.0,45747.12808536636,58102.0,-69.68000000000029,103849.12808536636,0.0
2019-11-23 16:46:00,-8.0,0.0,0.0,0.0,45647.80808536636,58151.659999999996,-49.65999999999622,103799.46808536636,0.0
2019-11-23 16:47:00,-8.0,0.0,0.0,0.0,45406.488085366356,58272.32,-120.66000000000349,103678.80808536636,0.0
